Elapsed(s)	Estimated Unique Users
1	87
2	169
3	244
4	320
5	388
6	451
7	514
8	579
9	637
10	687
11	739
12	796
13	848
14	896
15	934
16	977
17	1016
18	1054
19	1096
20	1131
21	1177
22	1212
23	1239
24	1257
25	1293
26	1320
27	1352
28	1379
29	1398
30	1429
31	1454
32	1470
33	1494
34	1514
35	1534
36	1551
37	1564
38	1589
39	1608
40	1627
41	1637
42	1654
43	1666
44	1678
45	1688
46	1704
47	1715
48	1721
49	1732
50	1748
51	1759
52	1771
53	1778
54	1787
55	1794
56	1802
57	1806
58	1809
59	1815
60	1820
Streaming stopped by user.
